"Two questions:

1). I wanted to run an experiment that needs to consider an increasing number of populations (ranging from 3-5 populations instead of 2 like the examples you gave in the file), but it doesn't open the visualizer or finish any of the tests. I saw @110, but do you have any suggestions for this in particular that might help some more? 

2). Could you explain what the seed number does and how a lower/higher number might change my tests?","I wanted to know if this counted as something to experiment--I wanted to test a different definition of happiness (to include people a distance of 2 or 4 away instead of just 1 away) with different minNeighbor thresholds. This doesn't really require me to change much code (only the isHappy() function), but does this count as a valid experiment?","I'm confused about what we are being asked to do. Are we just adjusting parameters when making a new Schelling object to test out a certain segmentation?

For example, if I wanted to see how people in different economical classes segment, would I just be changing the class size? Or would I have to make more adjustments to the program? 

"
"The book only defines a violation of the triadic closure principle. If a node does not have two strong edges coming out of it, and therefore cannot violate the principle, does it then fulfill the principle by default? ","If there is no direct edge from node A to node B, but there is an intermediary node C that has edges to A and to B, does that count as an edge between A and B (in terms of strong triadic closure)?"
"For part 1, question 1 what is meant by ""the start time of B must be less than or equal to the finish time of A"". What is the start time? Like is it when DFS reaches node B? Is the finish time the time when A is taken off the recursive stack (if DFS is recursively implemented)? I am just confused by the wording of this question.","The question says that when we have a choice, we should go for the node that appears earlier in the alphabet. Is this talking about when we are implementing DFS? Or how the final outcome should look like?

For example, should we start our DFS with $$m$$ because it goes earlier in the alphabet? Or start our DFS with $$z$$ so that the final outcome puts $$z$$ towards the end, like in the alphabet?"
"Do the Schelling programs count 8 neighbors as the max, or are they only counting the adjacent ones (so maximum of 4 like neighbors?)","In CIS 121, we learned that the topological sort algorithm is
1) Run DFS
2) Return the nodes in reverse postorder (reverse order of the DFS finish times)

Should we use this or the method from class which was
1) Remove the nodes and all their edges in order of increasing in-degree (ex. start with those with 0 incoming edges, etc.)
?

I know both are conceptually the same, but since we are choosing nodes alphabetically, the result changes.
For example, does that mean choose the nodes alphabetically while doing DFS? Or does it mean choose alphabetically when choosing which remaining node of minimum in-degree?"
"What was the correct solution for homework 2, question 2?","What was the correct solution for homework 2, question 2?"
"Was there somewhere on the homework 2 instructions where it said the hypothesis and conclusion had to be interesting? I thought that our conclusion had to explain the data we gathered and support our hypothesis, and I did not know that it would be subjectively graded.","Was there somewhere on the homework 2 instructions where it said the hypothesis and conclusion had to be interesting? I thought that our conclusion had to explain the data we gathered and support our hypothesis, and I did not know that it would be subjectively graded."
"Hi, I'm not really sure what to do for the coding portion of the homework. When it wants us to test a sociological question and expand parameters, does it mean that we should modify one of the parameters passed into the SchellingSimulator object or should we create a new parameter and modify all of the methods to take into account the effect of the new parameter? If it is the latter, I'm not really sure how I should modify the other methods. ","For part 2 I think I misinterpreted the question. I thought we were supposed to modify the actual model instead of just expanding the set of parameters. I modified the program to see if segregation still occurs as much if instead of considering the nodes that are directly up, down, left, right, and diagonal to be a neighbor, we just considered diagonal nodes as neighbors. Is what I did wrong and should I redo this part of the assignment?","If we change the numClasses parameter in SchellingSimulator to a different number (say 5), would we have to change anything else to make the code work?  I've been trying to change the number of classes to 5 but am not sure what else I would have to modify besides the numClasses parameter."
"How is our program supposed to deal with vertices which have no edges? Since our input file takes in pairs of vertices, do we have to deal with this case?",Because of the modification of our algorithm should we start at node m because it is the smallest letter
"Hi guys! My board gets populated, but not in the quantities that I want it to per class. I am trying the following modification to populate(), is there anything super obvious that I am missing? 

	private void populate() {
		if (population &gt; width * height)
			throw new RuntimeException(""Only "" + width * height + "" cells exist!"");
		
		for (int i = 0; i &lt; population; i++) {
			int xChoice;
			int yChoice;
			
			int input = randGen.nextInt(classes) + 1;
			int c1 = 0;
			int c2 = 0;
			int c3 = 0;
			
			do {
				xChoice = randGen.nextInt(width);
				yChoice = randGen.nextInt(height);
			} while (grid[xChoice][yChoice] != 0);
			
			if(input == 1 &amp;&amp; c1 &lt;= Math.ceil(population*.48)){
			 grid[xChoice][yChoice] =  input;
			 c1++;
			} else if (input == 2 &amp;&amp; c2 &lt;= Math.ceil(population*.43)){
			 grid[xChoice][yChoice] =  input;
			 c2++;
			} else if (input == 3 &amp;&amp; c3 &lt;= Math.ceil(population*.09)){
			 grid[xChoice][yChoice] =  input;
			 c3++;
			} else {grid[xChoice][yChoice] = 0;}
			
		}
	}
","Can someone explain the following syntax to me?

private void simulateUntilHappy() {  while (!movementRound())    ;}

I understand that putting movementRound() while condition will run the method, and then check to see the value it returns. Why is there a sole ';' inside the brackets, however?"
"When I try to run this program with the following arguments, the program stops running before it does all 100 trials and the visual representation doesn't show up. Any idea why? I increased the number of classes argument by 1 and kept the other arguments the same.
simulator = new SchellingSimulator(1, 3, (int) (50 * 50 * 0.92), 4, 50, 50);","For some cases, I get NAN as output
simulator = new SchellingSimulator(50, 2, 20, 2, 10, 10);

What should I do?"," simulator = new SchellingSimulator(100, 3, 20000, 4, 150, 150);
How come I only see two colors yellow and blue? The black denotes empty spaces right?"
Should we write a topo sort algo and apply it to the graph or can we do it by hand?,"If we don't use Schelling Visualizer in our experimentation, is it ok to only submit our write up and the Schelling Simulator code?"
"So I was messing around with the simulator for part 2, and changing the number of groups. I realized that when I increased the number of groups, the simulator wouldn't get through all 100 trials and would get stuck in an infinite loop within the simulate function. However, what I really thought was interesting is that it seems to get stuck on the same trial number each time I run the program. But if it's actually randomly populating the grid each time simulate runs, shouldn't it also randomly get stuck on a certain trial?","I'm working on the Schelling Model for HW 2 am confused about what the question is asking. It asks to model some sociological question with the simulator, which I understand. However, after doing this and making comparisons, do I need to compare the results of the simulation to what actually ended up happening in real life? Or should I just analyze the results of the model and explain why they are what they are?"
How do we submit a regrade request? My score in the comments for HW2  does not match up with the score inputted to Canvas,"I used Kahn's algorithm on question 2 of homework 2. How should I go about submitting a regrade request? I emailed the TA who graded my homework, but haven't heard back yet. Thanks! "
"Are we to assume that in the directed graph G, the only node that has a path to node B is node A?","In a directed graph G, if there is a path from node A to node B, then in any DFS on G, the start time of B must be less than or equal to the finish time of A"
"In dijkstra's if a node has already been ""finished"" but we find out later that there is a shorter path from another node do we update the distance of the finished node with the new shorter distance? ","In the homework for part 1, question 3 says to show the shortest path cost using Djikstra's– does this mean we have to somehow indicate the iterations in a diagram or can we just write the shortest path for each node by calculating it ourselves?",Can we just draw a graph where we get the incorrect shortest path or do we need to show why it gives us the wrong path? ,Can we just draw a graph where we get the incorrect shortest path or do we need to show why it gives us the wrong path? 
